address,name,phone,website,url
"1/258 Warrigal RdRuncorn, QLD 4113",Runcorn Plaza Family Medical Practice,+61738418099,http://www.runcornmedical.com.au,https://www.hotdoc.com.au/medical-centres/runcorn-QLD-4113/runcorn-plaza-family-medical-practice/doctors
"34 Landsborough ParadeGolden Beach, QLD 4551",Golden Beach Medical Centre,+61754921044,http://goldenbeachmedicalcentre.com.au,https://www.hotdoc.com.au/medical-centres/golden-beach-QLD-4551/golden-beach-medical-centre/doctors
"50 Radovick StreetKorumburra, VIC 3950",Korumburra Medical Centre,+61356551355,http://www.korumburramedical.com.au,https://www.hotdoc.com.au/medical-centres/korumburra-VIC-3950/korumburra-medical-centre/doctors
"68 Jackson CourtDoncaster East, VIC 3109",Jackson Court Clinic,+61398558655,http://drthompsonassociates.com.au,https://www.hotdoc.com.au/medical-centres/doncaster-east-VIC-3109/jackson-court-clinic/doctors
"670 Chapel Street (Entrance at Corner of Chapel St & Malcolm St)South Yarra, VIC 3141",Vogue Medical,98287500,http://www.voguemedical.com.au,https://www.hotdoc.com.au/medical-centres/south-yarra-VIC-3141/vogue-medical/doctors
"34 Station StreetPakenham, VIC 3810",Station Street Clinic,+61359411611,http://www.stationstreetclinic.com.au,https://www.hotdoc.com.au/medical-centres/pakenham-VIC-3810/station-street-clinic/doctors
"26 Carpenter StreetBrighton, VIC 3186",Brighton Medical Clinic,+61395920222,http://www.brightonmedical.com.au,https://www.hotdoc.com.au/medical-centres/brighton-VIC-3186/brighton-medical-clinic/doctors
"767 Nepean HighwayBrighton East, VIC 3187",Brighton Family & Women's Clinic,+61395165100,http://www.brightonfwc.com.au,https://www.hotdoc.com.au/medical-centres/brighton-east-VIC-3187/brighton-family-women-s-clinic/doctors
"Shop 2.6A Yeronga Village Shopping Centre, 429 Fairfield RoadYeronga, QLD 4104",Yeronga Medical Centre,+61738484363,http://www.yerongamedicalcentre.com.au,https://www.hotdoc.com.au/medical-centres/yeronga-QLD-4104/yeronga-medical-centre/doctors
"16 Park StreetGeelong, VIC 3220",Park Street General Practice,+61352232722,http://www.parkstgp.com.au,https://www.hotdoc.com.au/medical-centres/geelong-VIC-3220/park-street-general-practice/doctors
"210A Broadway ReservoirReservoir, VIC 3073",Doctors on Broadway,+61394620100,http://www.dobmedical.com.au/index.html,https://www.hotdoc.com.au/medical-centres/reservoir-VIC-3073/doctors-on-broadway/doctors
